Name,Count,x,y,z,Energy,Energy/points
Hexyldesprot,1,37.66615287680836,-2.387465447261152,5.935105276903864,-6.4,-0.35555555555555557
Hexyldesprot,2,37.88178473037456,-2.4508234753246128,5.772273976538229,-6.3,-0.35
Hexyldesprot,3,37.170518744483125,-0.8696559527761515,4.555787489659087,-6.3,-0.35
Hexyldesprot,4,37.64590863881035,-2.331944295825667,5.953999188850802,-6.3,-0.35
Hexyldesprot,5,37.66559122102938,-2.39369615517463,5.893666830984774,-6.2,-0.34444444444444444
Hexyldesprot,6,37.286762149245575,-0.8285139723577755,4.8461665523438135,-6.2,-0.34444444444444444
Hexyldesprot,7,39.531344514312764,-3.5500985111267847,9.641935735048218,-6.2,-0.34444444444444444
Hexyldesprot,8,37.97538360265127,-2.2107301933346704,6.030965073346482,-6.2,-0.34444444444444444
Hexyldesprot,9,38.04140388692383,-2.3117175294473022,6.040338591764708,-6.2,-0.34444444444444444
Pentylprot,1,37.67816148954465,-2.6176812387743573,6.1098647674379345,-6.3,-0.37058823529411766
Pentylprot,2,37.64134703306245,-2.583578415130143,6.160901737688503,-6.2,-0.3647058823529412
Pentylprot,3,39.41262153185711,-3.6685464797699496,10.174779216960067,-6.1,-0.3588235294117647
Pentylprot,4,39.52202641432152,-3.7074908562694633,10.104794611347925,-6.1,-0.3588235294117647
Pentylprot,5,37.89578212174346,-2.648698649689322,5.93280755883779,-6.1,-0.3588235294117647
Pentylprot,6,39.08854011044808,-2.6981490731947915,6.480908090589725,-6.0,-0.35294117647058826
Pentylprot,7,37.329669116279426,-0.781888097229307,4.671672091411904,-6.0,-0.35294117647058826
Pentylprot,8,37.316964243249195,-0.7887366897038653,4.694159930286608,-6.0,-0.35294117647058826
Pentylprot,9,37.42692042065409,-0.9581078877219757,4.248077758369902,-6.0,-0.35294117647058826
Pentyldesprot,1,37.69229820746818,-2.63478753820448,6.103223068665607,-6.4,-0.3764705882352941
Pentyldesprot,2,37.6316471691562,-2.6003438379386243,6.185278396191399,-6.3,-0.37058823529411766
Pentyldesprot,3,37.91867167145106,-2.569097389797888,5.9384831407238226,-6.3,-0.37058823529411766
Pentyldesprot,4,37.90010167987839,-2.6677621191524343,5.890401436530041,-6.3,-0.37058823529411766
Pentyldesprot,5,37.42501113741479,-0.973482732092082,4.254680226230134,-6.2,-0.3647058823529412
Pentyldesprot,6,39.52115314718074,-3.646265403594703,9.995582729951863,-6.1,-0.3588235294117647
Pentyldesprot,7,39.94273663368279,-3.261670402618781,10.756247316300778,-6.1,-0.3588235294117647
Pentyldesprot,8,37.31870767172594,-0.6869797243307766,4.748282405743856,-6.1,-0.3588235294117647
Pentyldesprot,9,37.295185580230104,-0.698042317241323,4.705511354620626,-6.1,-0.3588235294117647
Octyldesprot,1,37.22801914035941,-0.6126088971863918,4.659218656649754,-5.9,-0.29500000000000004
Octyldesprot,2,38.81221764100367,-3.2448340147534913,8.452445429695574,-5.9,-0.29500000000000004
Octyldesprot,3,39.522325069531014,-2.7872391986144986,8.219569611081694,-5.8,-0.29
Octyldesprot,4,39.16547418253419,-3.234550155592802,9.103105816797553,-5.8,-0.29
Octyldesprot,5,39.20437307208226,-3.1887366117835847,9.058170653068675,-5.8,-0.29
Octyldesprot,6,38.95402750662394,-2.8471871854664816,8.10758964331629,-5.7,-0.28500000000000003
Octyldesprot,7,37.85483095396967,-2.2323909207235357,6.004764267466592,-5.7,-0.28500000000000003
Octyldesprot,8,37.705113503714315,-2.1308506626835197,6.094104737721261,-5.7,-0.28500000000000003
Octyldesprot,9,37.32590534939744,-0.5124451347813627,5.099999037104342,-5.6,-0.27999999999999997
Octylprot,1,37.4993384414082,-2.0303307134109123,6.230922418339189,-6.2,-0.31
Octylprot,2,38.995099087409365,-3.1717548122541968,9.251184355309901,-6.2,-0.31
Octylprot,3,37.57962630225912,-2.081036171997202,6.27344647325535,-6.1,-0.305
Octylprot,4,38.958206908378955,-2.841165559394878,7.506675345120111,-6.1,-0.305
Octylprot,5,37.404535884956765,-0.8119227577950506,4.871475419181825,-6.0,-0.3
Octylprot,6,38.73347601381852,-2.0195194984412344,6.3502047586438035,-6.0,-0.3
Octylprot,7,38.99883875667964,-2.9196790735871834,7.539705606542539,-6.0,-0.3
Octylprot,8,39.21368559091937,-3.17267090692659,9.188380001459805,-6.0,-0.3
Octylprot,9,38.55104914841376,-3.2268159572448236,8.617783234672405,-6.0,-0.3
Heptyldesprot,1,37.35716502528272,-0.9181884383284223,4.673995373169612,-5.8,-0.30526315789473685
Heptyldesprot,2,37.90248265638137,-2.4506100603061296,5.655694384437847,-5.7,-0.3
Heptyldesprot,3,37.86830905622461,-2.1571222257425386,5.902333614225764,-5.7,-0.3
Heptyldesprot,4,39.37173265624148,-3.388439012005343,9.398214880511388,-5.7,-0.3
Heptyldesprot,5,37.893992956623286,-2.5090854945501593,5.931424382294478,-5.7,-0.3
Heptyldesprot,6,37.71308849142896,-2.3920797575810786,5.84954874532982,-5.7,-0.3
Heptyldesprot,7,37.93532130688412,-2.2336560600293556,5.92624442906005,-5.7,-0.3
Heptyldesprot,8,39.834395051320534,-2.9396400030315752,8.617548536549235,-5.6,-0.29473684210526313
Heptyldesprot,9,39.46729327444306,-3.340583102787283,9.300815166984094,-5.6,-0.29473684210526313
Heptylprot,1,39.174851443880286,-3.270931986399438,9.592423937088304,-6.4,-0.3368421052631579
Heptylprot,2,39.242976194158885,-3.3532285787222933,9.51543319641281,-6.4,-0.3368421052631579
Heptylprot,3,37.55489228892329,-2.2350914596923714,6.317682173350833,-6.4,-0.3368421052631579
Heptylprot,4,37.111020830384696,-0.7549892651300243,4.7189391158933836,-6.3,-0.33157894736842103
Heptylprot,5,38.91277280740342,-2.8788934746308863,7.1927024037552165,-6.3,-0.33157894736842103
Heptylprot,6,38.972445944581025,-2.8571327595578713,7.0910587427303176,-6.3,-0.33157894736842103
Heptylprot,7,39.815968203432426,-2.9129797087217026,8.56975283068679,-6.3,-0.33157894736842103
Heptylprot,8,38.72403400355553,-2.106807302847247,6.303704602382461,-6.3,-0.33157894736842103
Heptylprot,9,37.862015999806665,-2.1776990275023893,5.937176466232235,-6.3,-0.33157894736842103
Hexylprot,1,37.6426401774833,-2.382551674247172,5.9779191764342725,-6.2,-0.34444444444444444
Hexylprot,2,37.862369098665425,-2.4478363688317355,5.7724327835249065,-6.2,-0.34444444444444444
Hexylprot,3,37.67014858575443,-2.343138287879639,5.9740494465908345,-6.1,-0.33888888888888885
Hexylprot,4,37.864698225664576,-2.556154755874329,5.801453454243997,-6.1,-0.33888888888888885
Hexylprot,5,37.24650422018106,-0.9095164924339967,4.578636178761252,-6.1,-0.33888888888888885
Hexylprot,6,37.178537298499606,-0.7833834373672851,4.7307125029023,-6.0,-0.3333333333333333
Hexylprot,7,38.74343322548121,-2.2977301816984017,6.30744349676337,-6.0,-0.3333333333333333
Hexylprot,8,38.9195824567762,-2.8224193287774906,6.770575160901159,-6.0,-0.3333333333333333
Hexylprot,9,39.39912548477737,-3.5507473770603606,9.826875341476065,-6.0,-0.3333333333333333
